id,dataset,question,gold,budget_usd,final_model,final_pred,accepted,spent_usd,qoA,acc_label
row_0,simpleqa,In which year was Monir Shahroudy Farmanfarmaian (an Iranian artist) awarded the Venice Biennale?,1958,1.22e-05,phi4:14b,2019,1,3.7399999999999998e-06,0.41050347685813904,0
row_1,simpleqa,"What item did Cornelia Parker dissolve to create ink for her work ""Pornographic Drawings (1997)""?",Videotape,1.22e-05,phi4:14b,Aged pornographic magazines,1,4.2e-06,0.12609067559242249,0
row_10,simpleqa,"What year was the municipality of Valparaíso, Antioquia, Colombia, founded?",1860,1.22e-05,phi4:14b,1882,1,3.56e-06,0.5868175029754639,1
row_11,simpleqa,How many mountaineers were killed in the avalanche in Uttarkashi on 4 October 2022?,27,1.22e-05,llama3.1:8b,10,0,9.481e-06,0.562199592590332,1
row_12,simpleqa,What is the basin size of the Koshi River in square kilometers?,"74,500 km2",1.22e-05,gemma3:27b,76200,0,5.2e-06,0.3931642174720764,0
row_13,simpleqa,What is the forest cover area of Uttar Pradesh in square kilometers according to the India State of Forest Report 2019?,"14,805.65",1.22e-05,phi4:14b,"20,276 square kilometers",1,4.6e-06,0.3077414333820343,0
row_14,simpleqa,What is the name of the tallest mountain?,Mount Everest,1.22e-05,phi4:14b,Mount Everest,1,3.3999999999999996e-06,1.000000238418579,1
row_15,simpleqa,"What year was the municipality of Alejandría, Antioquia, Colombia, founded?",1886,1.22e-05,phi4:14b,1876,1,3.56e-06,0.6425515413284302,1
row_16,simpleqa,"For how many years was the original Omsund Bridge in Kristiansund, Norway, in use?",41,1.22e-05,mistral:7b,1855-1965 (70 years),1,6.9180000000000005e-06,0.3772801458835602,0
row_17,simpleqa,"In which year was the municipality of Santa B√°rbara, Antioquia, Colombia, founded?",1774,1.22e-05,phi4:14b,1819,1,3.86e-06,0.3923274278640747,0
row_18,simpleqa,"Who founded the municipality of Cucaita, Boyac√°, Colombia?",friar Juan de Los Barrios,1.22e-05,llama3.1:8b,Jorge Eli√©cer Gait√°n,0,9.129e-06,0.32296085357666016,0
row_19,simpleqa,The Alpine musk deer is the state animal of which Indian state?,Uttarakhand,1.22e-05,phi4:14b,Himachal Pradesh,1,3.64e-06,0.5738228559494019,1
row_2,simpleqa,What was the Minute Man sculpture by Daniel Chester French originally intended to be made out of?,Stone,1.22e-05,phi4:14b,Bronze,0,8.972e-06,0.4007689952850342,0
row_20,simpleqa,What year was the Süleymaniye damaged in the great fire?,1660,1.22e-05,phi4:14b,1660,1,3.38e-06,1.0,1
row_21,simpleqa,"How was Raja Mohendra Pratap addressed in the salutation of the letter sent by Abhay Charan De, also known as A. C. Bhaktivedanta Swami Prabhupada, on July 13, 1947?","Dear Raja Sahib,",1.22e-05,phi4:14b,Raja Sir,1,4.96e-06,0.6530508995056152,1
row_22,simpleqa,Who was the first principal of Mayo College in India?,Colonel Sir Oliver St John,1.22e-05,phi4:14b,Sir Richard Bourke,0,9.496e-06,0.4108196496963501,0
row_23,simpleqa,"Who died without naming a successor, which led to a war of succession in 370 BC?",Marquess Wu,1.22e-05,llama3.1:8b,Alexander the Great,0,3.52e-06,0.25621485710144043,0
row_24,simpleqa,"What famous field marshal said, ""I have no intention of shooting myself for this Bohemian corporal""?",Friedrich Paulus,1.22e-05,phi4:14b,Field Marshal Franz Conrad von Hötzendorf,1,4.62e-06,0.379150927066803,0
row_25,simpleqa,"What was Bindy Johal's age in years when he immigrated to Vancouver, British Columbia, with his parents during his childhood?",4 years.,1.22e-05,llama3.1:8b,5,0,1.0945000000000001e-05,0.3213042616844177,0
row_26,simpleqa,"According to Walter Sichel's book *Emma Lady Hamilton*, Dr. James Graham's specialties in 1780 were ""the then derided but now accepted electricity,"" and what other specialty?",Mud baths.,1.22e-05,phi4:14b,animal magnetism,1,5.14e-06,0.06335168331861496,0
row_27,simpleqa,"In what year did Thomas D. Wilson (""Big Tom"" Wilson) marry Niagara Ray, the daughter of Amos Ray?",1852,1.22e-05,gemma3:27b,1878,0,6.28e-06,0.48734772205352783,0
row_28,simpleqa,In what year did John Lawrence LeConte travel to California via Panama?,1849,1.22e-05,phi4:14b,1853,1,3.5e-06,0.6962248086929321,1
row_29,simpleqa,What year did Shokichi Iyanaga become Dean of the Faculty of Science at Tokyo University?,1965,1.22e-05,phi4:14b,1958,1,3.6799999999999995e-06,0.6107402443885803,1
row_3,simpleqa,In which Swiss municipality was the painter Jean Preudhomme baptized in 1732?,Rolle,1.22e-05,mistral:7b,Unknown (No specific information available about Jean Preudhomme's birthplace),0,8.905e-06,0.10984495282173157,0
row_30,simpleqa,Which was the first Indian album to have more than 1 billion streams on Spotify?,Moosetape,1.22e-05,llama3.1:8b,1,0,9.226e-06,0.21573153138160706,0
row_31,simpleqa,"What is the name of the ninth track on Anne-Marie's album ""Speak Your Mind""?",Heavy,1.22e-05,phi4:14b,"Friends

(Note: The track order may vary depending on the edition or release. Always verify with a reliable source for the most accurate information.)",0,1.0609999999999998e-05,0.11614333093166351,0
row_32,simpleqa,"What is song 3 on disc 2 of the ""Ys Origin"" original soundtrack?",Dreaming,1.22e-05,phi4:14b,"Battle in the Sky""
[/answer]

(Note: The specific track listing can vary based on different editions or releases. This answer assumes a common version.)",0,1.0243999999999999e-05,0.14276883006095886,0
row_33,simpleqa,"What day, month, and year was The Legend of Heroes: Zero no Kiseki original soundtrack released?","December 16, 2010",1.22e-05,phi4:14b,"December 22, 2011",1,4.34e-06,0.8863346576690674,1
row_34,simpleqa,"What is the name of the man buried at Paddington Cemetery in London in 1767, with an epitaph that reads, ""Tho' sweet as Orpheus thou couldst bring / Soft pleadings from the trembling string""?",Matthew Dubourg,1.22e-05,phi4:14b,John Stanley,1,5.26e-06,0.42111754417419434,0
row_35,simpleqa,"What month, day, and year did Ciara perform at the Joy Theater in New Orleans for her Jackie Tour?","May 19, 2015",1.22e-05,llama3.1:8b,9/29/2015,0,1.1898e-05,0.6461793184280396,1
row_36,simpleqa,In which year was the ensemble officially named the A.V. Alexandrov Twice Red-bannered and Red-starred Song and Dance Ensemble of the Soviet Army?,1949.,1.22e-05,gemma3:27b,1949,0,6.82e-06,0.972600519657135,1
row_37,simpleqa,How old was Clint Ballard Jr. when he attended a musical program for gifted students at the University of North Texas?,11 years.,1.22e-05,llama3.1:8b,17,0,1.0065000000000001e-05,0.43780916929244995,0
row_38,simpleqa,Which album by Die Toten Hosen was the first to reach number one on the German music charts?,"""Auf dem Kreuzzug ins Glück""",1.22e-05,gemma3:27b,Auf'm Beat,0,6.22e-06,0.37500351667404175,0
row_39,simpleqa,"What specific day, month, and year was Beyoncé's album ""Lemonade"" certified platinum by the British Phonographic Industry?","9, September 2016",1.22e-05,llama3.1:8b,25 May 2016,1,1.0426000000000001e-05,0.6123237609863281,1
row_4,simpleqa,'The Waters Reglitterized' by Laurie Anderson was exhibited during what year?,2005,1.22e-05,phi4:14b,1999,1,3.56e-06,0.6679676175117493,1
row_40,simpleqa,What is the surname of the winner of the Hickinbottom Award in 2012?,O'Reilly,1.22e-05,mistral:7b,Unknown (without specific information provided),0,8.724e-06,0.13704581558704376,0
row_41,simpleqa,"What's the first and last name of the linguist who wrote the paper ""Pre- and postnominal onymic genitives in (Early) New High German: A multifactorial analysis""?",Tanja Ackermann,1.22e-05,phi4:14b,Unknown,0,8.624e-06,0.2399374097585678,0
row_42,simpleqa,Who is the god with the Hawaiian name Kama ªehuakanaloa?,Kanaloa,1.22e-05,phi4:14b,Kāne,0,1.0779e-05,0.22281281650066376,0
row_43,simpleqa,What was the first name of the Uruguayan mathematician Mischa Cotlar's father?,Ovsey,1.22e-05,mistral:7b,Unknown (No publicly available information about Mischa Cotlar's father's first name),0,9.407e-06,0.08996061980724335,0
row_44,simpleqa,What's the secret identity of the third Doll Man?,Dane Maxwell,1.22e-05,llama3.1:8b,"Bobo
Doll Man",0,8.602e-06,0.22615130245685577,0
row_45,simpleqa,Name the dentist who died in May 2019 after being injured in an elevator crash at the Dr. Bhau Daji Lad Museum (BDL) in Mumbai on April 28.,Dr Arnavaz Havewalla,1.22e-05,phi4:14b,Dr. Ramesh Bhatia,1,5.059999999999999e-06,0.3989388942718506,0
row_46,simpleqa,Who served before Cora Sadosky as president of the Association for Women in Mathematics?,Carol S. Wood,1.22e-05,llama3.1:8b,Alice T. Schafer,0,8.924e-06,0.5367470979690552,1
row_47,simpleqa,How many acres did the University of Alabama purchase to expand its campus in 2010?,168,1.22e-05,llama3.1:8b,"1,000",0,1.0038e-05,0.20025646686553955,0
row_48,simpleqa,What was the name of Iris Litt's direct predecessor as director of the Clayman Institute for Gender Research?,Deborah L. Rhode,1.22e-05,llama3.1:8b,Penny A. Krisel,0,9.89e-06,0.3683215379714966,0
row_49,simpleqa,At what university did Lorne Baird Warneke attend medical school?,University of Alberta,1.22e-05,phi4:14b,University of Toronto,0,8.793e-06,0.7740644812583923,1
row_5,simpleqa,"What year is Anselm Kiefer's ""The Second Sinful Fall of Parmenides (Der zweite Sündenfall des Parmenides)"" dated?",1969,1.22e-05,phi4:14b,1983,1,4.16e-06,0.5185961723327637,1
row_50,simpleqa,"What day, month, and year was the largest donor of the Liberal Democrats party in the UK as of 2005 born?","April 19, 1966",1.22e-05,llama3.1:8b,"13th September, 1933",0,1.0643e-05,0.47229987382888794,0
row_51,simpleqa,"During his education days, the 13th Chief Justice of India, S. M. Sikri, moved to London to initially study which subject but later switched to law, studying at Trinity College, Cambridge?",medicine,1.22e-05,mistral:7b,"Law (Trinity College, Cambridge)",0,7.874e-06,0.18198780715465546,0
row_52,simpleqa,"On which day and month of 1956 was a letter sent to Dr. Rajendra Prasad, President of the Indian Union, by A.C. Bhaktivedanta, also known as A.C. Bhaktivedanta Swami Prabhupada?",21 November,1.22e-05,mistral:7b,Unknown (specific date is not provided in available records),0,8.126e-06,0.29414719343185425,0
row_53,simpleqa,What governor decided that Juneteenth should only be recognized for one year in 2020?,Kristi Noem,1.22e-05,llama3.1:8b,Governor Greg Abbott,0,1.0197e-05,0.10210590809583664,0
row_54,simpleqa,"On which date, month, and year did the BBC publish an apology on their website for previously publishing inaccurate statements about Tunisian politician Rached Ghannouchi six months earlier on 21 November 2012?",17 May 2013,1.22e-05,phi4:14b,17 May 2013,1,5.1e-06,1.0000001192092896,1
row_55,simpleqa,Which chief minister ordered the construction of a mosque at the site of a Hindu temple in Jammu in 1986?,Gul Shah,1.22e-05,phi4:14b,Ghulam Mohammad Shah,1,4.26e-06,0.7204678058624268,1
row_56,simpleqa,"On what month, day, and year did D.C. Reeves announce his candidacy for the 2022 mayoral election in Pensacola?","September 1, 2021",1.22e-05,llama3.1:8b,12/1/21,0,1.0625e-05,0.2692134976387024,0
row_57,simpleqa,"What month, day, and year did Feodor Timofeyev, consul for the Soviet Union in Georgetown, visit Jonestown for two days and give a speech?",2 October 1978,1.22e-05,phi4:14b,"November 18-19, 1978
[/answer]",1,5.72e-06,0.7286661863327026,1
row_58,simpleqa,What is the name of the CIA project whose user guide was published by WikiLeaks on 10 August 2017?,CouchPotato,1.22e-05,phi4:14b,CIA Vault 7,1,4.2e-06,0.15235553681850433,0
row_59,simpleqa,Which primary school did Kiraitu Murungi attend?,Kionyo Primary School,1.22e-05,mistral:7b,Unknown (No specific information available about Kiraitu Murungi's primary school attendance.),0,8.351999999999999e-06,0.43537819385528564,0
